"","Ob","Type","MPG.highway","AirBags","DriveTrain","Cylinders","EngineSize","Horsepower","RPM","Rev.per.mile","Man.trans.avail","Fuel.tank.capacity","Passengers","Length","Wheelbase","Width","Turn.circle","Rear.seat.room","Luggage.room","Weight","Origin","Make","PriceNew","average","level1","level2","level3","level4","level5","level6","level7","level8"
"11",838,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",7709.299635,8467.88240576923,1,0,0,0,0,0,0,0
"12",763,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",8125.89495,8467.88240576923,1,0,0,0,0,0,0,0
"13",87,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",8429.750859,8467.88240576923,1,0,0,0,0,0,0,0
"14",435,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",8707.406136,8467.88240576923,1,0,0,0,0,0,0,0
"15",387,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",8871.400611,8467.88240576923,1,0,0,0,0,0,0,0
"16",684,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",8871.400611,8467.88240576923,1,0,0,0,0,0,0,0
"17",1491,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",8871.400611,8467.88240576923,1,0,0,0,0,0,0,0
"18",1130,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",8983.995609,8467.88240576923,1,0,0,0,0,0,0,0
"19",1348,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",8983.995609,8467.88240576923,1,0,0,0,0,0,0,0
"20",195,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",9095.697407,8467.88240576923,1,0,0,0,0,0,0,0
"21",456,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",10000.25406,8467.88240576923,1,0,0,0,0,0,0,0
"22",608,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",10000.25406,8467.88240576923,1,0,0,0,0,0,0,0
"23",1240,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",10185.41779,8467.88240576923,1,0,0,0,0,0,0,0
"24",1362,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",10185.41779,8467.88240576923,1,0,0,0,0,0,0,0
"25",381,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",10481.20244,8467.88240576923,1,0,0,0,0,0,0,0
"26",533,"Small",33,"None","Front","4",1.3,63,5000,3150,"Yes",10,4,141,90,63,33,26,12,1845,"USA","Ford Festiva",10481.20244,8467.88240576923,1,0,0,0,0,0,0,0
"27",5,"Small",43,"None","Front","3",1.3,70,6000,3360,"Yes",10.6,4,161,93,63,34,27.5,10,1965,"non-USA","Suzuki Swift",8361.676661,9608.46960255,1,0,0,0,0,0,0,0
"28",695,"Small",43,"None","Front","3",1.3,70,6000,3360,"Yes",10.6,4,161,93,63,34,27.5,10,1965,"non-USA","Suzuki Swift",8361.676661,9608.46960255,1,0,0,0,0,0,0,0
"29",1390,"Small",43,"None","Front","3",1.3,70,6000,3360,"Yes",10.6,4,161,93,63,34,27.5,10,1965,"non-USA","Suzuki Swift",8361.676661,9608.46960255,1,0,0,0,0,0,0,0
"30",305,"Small",43,"None","Front","3",1.3,70,6000,3360,"Yes",10.6,4,161,93,63,34,27.5,10,1965,"non-USA","Suzuki Swift",8864.199464,9608.46960255,1,0,0,0,0,0,0,0
"31",1078,"Small",43,"None","Front","3",1.3,70,6000,3360,"Yes",10.6,4,161,93,63,34,27.5,10,1965,"non-USA","Suzuki Swift",8864.199464,9608.46960255,1,0,0,0,0,0,0,0
"32",1074,"Small",43,"None","Front","3",1.3,70,6000,3360,"Yes",10.6,4,161,93,63,34,27.5,10,1965,"non-USA","Suzuki Swift",8913.216266,9608.46960255,1,0,0,0,0,0,0,0
"33",1162,"Small",43,"None","Front","3",1.3,70,6000,3360,"Yes",10.6,4,161,93,63,34,27.5,10,1965,"non-USA","Suzuki Swift",9140.554775,9608.46960255,1,0,0,0,0,0,0,0
"34",497,"Small",43,"None","Front","3",1.3,70,6000,3360,"Yes",10.6,4,161,93,63,34,27.5,10,1965,"non-USA","Suzuki Swift",9508.356949,9608.46960255,1,0,0,0,0,0,0,0
"35",1273,"Small",43,"None","Front","3",1.3,70,6000,3360,"Yes",10.6,4,161,93,63,34,27.5,10,1965,"non-USA","Suzuki Swift",9632.446778,9608.46960255,1,0,0,0,0,0,0,0
"36",1343,"Small",43,"None","Front","3",1.3,70,6000,3360,"Yes",10.6,4,161,93,63,34,27.5,10,1965,"non-USA","Suzuki Swift",9852.957888,9608.46960255,1,0,0,0,0,0,0,0
"37",1487,"Small",43,"None","Front","3",1.3,70,6000,3360,"Yes",10.6,4,161,93,63,34,27.5,10,1965,"non-USA","Suzuki Swift",9884.691754,9608.46960255,1,0,0,0,0,0,0,0
"38",789,"Small",43,"None","Front","3",1.3,70,6000,3360,"Yes",10.6,4,161,93,63,34,27.5,10,1965,"non-USA","Suzuki Swift",9980.14377,9608.46960255,1,0,0,0,0,0,0,0
"39",1216,"Small",43,"None","Front","3",1.3,70,6000,3360,"Yes",10.6,4,161,93,63,34,27.5,10,1965,"non-USA","Suzuki Swift",10023.65485,9608.46960255,1,0,0,0,0,0,0,0
"40",205,"Small",43,"None","Front","3",1.3,70,6000,3360,"Yes",10.6,4,161,93,63,34,27.5,10,1965,"non-USA","Suzuki Swift",10266.5522,9608.46960255,1,0,0,0,0,0,0,0
"41",315,"Small",43,"None","Front","3",1.3,70,6000,3360,"Yes",10.6,4,161,93,63,34,27.5,10,1965,"non-USA","Suzuki Swift",10266.5522,9608.46960255,1,0,0,0,0,0,0,0
"42",891,"Small",43,"None","Front","3",1.3,70,6000,3360,"Yes",10.6,4,161,93,63,34,27.5,10,1965,"non-USA","Suzuki Swift",10331.03831,9608.46960255,1,0,0,0,0,0,0,0
"43",1300,"Small",43,"None","Front","3",1.3,70,6000,3360,"Yes",10.6,4,161,93,63,34,27.5,10,1965,"non-USA","Suzuki Swift",10331.03831,9608.46960255,1,0,0,0,0,0,0,0
"44",78,"Small",43,"None","Front","3",1.3,70,6000,3360,"Yes",10.6,4,161,93,63,34,27.5,10,1965,"non-USA","Suzuki Swift",10408.25303,9608.46960255,1,0,0,0,0,0,0,0
"45",480,"Small",43,"None","Front","3",1.3,70,6000,3360,"Yes",10.6,4,161,93,63,34,27.5,10,1965,"non-USA","Suzuki Swift",10408.25303,9608.46960255,1,0,0,0,0,0,0,0
"46",606,"Small",43,"None","Front","3",1.3,70,6000,3360,"Yes",10.6,4,161,93,63,34,27.5,10,1965,"non-USA","Suzuki Swift",10408.25303,9608.46960255,1,0,0,0,0,0,0,0
"47",851,"Small",37,"None","Front","4",1.6,82,5000,2370,"Yes",13.2,4,164,97,66,34,27,16,2325,"non-USA","Mazda 323",8006.077223,9702.67621790909,1,0,0,0,0,0,0,0
"48",727,"Small",37,"None","Front","4",1.6,82,5000,2370,"Yes",13.2,4,164,97,66,34,27,16,2325,"non-USA","Mazda 323",8488.85834,9702.67621790909,1,0,0,0,0,0,0,0
"49",312,"Small",37,"None","Front","4",1.6,82,5000,2370,"Yes",13.2,4,164,97,66,34,27,16,2325,"non-USA","Mazda 323",9187.576136,9702.67621790909,1,0,0,0,0,0,0,0
"50",564,"Small",37,"None","Front","4",1.6,82,5000,2370,"Yes",13.2,4,164,97,66,34,27,16,2325,"non-USA","Mazda 323",9941.137546,9702.67621790909,1,0,0,0,0,0,0,0
"51",644,"Small",37,"None","Front","4",1.6,82,5000,2370,"Yes",13.2,4,164,97,66,34,27,16,2325,"non-USA","Mazda 323",9941.137546,9702.67621790909,1,0,0,0,0,0,0,0
"52",668,"Small",37,"None","Front","4",1.6,82,5000,2370,"Yes",13.2,4,164,97,66,34,27,16,2325,"non-USA","Mazda 323",9941.137546,9702.67621790909,1,0,0,0,0,0,0,0
"53",673,"Small",37,"None","Front","4",1.6,82,5000,2370,"Yes",13.2,4,164,97,66,34,27,16,2325,"non-USA","Mazda 323",10103.87999,9702.67621790909,1,0,0,0,0,0,0,0
"54",1414,"Small",37,"None","Front","4",1.6,82,5000,2370,"Yes",13.2,4,164,97,66,34,27,16,2325,"non-USA","Mazda 323",10103.87999,9702.67621790909,1,0,0,0,0,0,0,0
"55",964,"Small",37,"None","Front","4",1.6,82,5000,2370,"Yes",13.2,4,164,97,66,34,27,16,2325,"non-USA","Mazda 323",10304.9436,9702.67621790909,1,0,0,0,0,0,0,0
"56",1316,"Small",37,"None","Front","4",1.6,82,5000,2370,"Yes",13.2,4,164,97,66,34,27,16,2325,"non-USA","Mazda 323",10304.9436,9702.67621790909,1,0,0,0,0,0,0,0
"57",1048,"Small",37,"None","Front","4",1.6,82,5000,2370,"Yes",13.2,4,164,97,66,34,27,16,2325,"non-USA","Mazda 323",10405.86688,9702.67621790909,1,0,0,0,0,0,0,0
"58",860,"Small",37,"None","4WD","3",1.2,73,5600,2875,"Yes",9.2,4,146,90,60,32,23.5,10,2045,"non-USA","Subaru Justy",8090.663224,9896.76192181818,1,0,0,0,0,0,0,0
"59",985,"Small",37,"None","4WD","3",1.2,73,5600,2875,"Yes",9.2,4,146,90,60,32,23.5,10,2045,"non-USA","Subaru Justy",8090.663224,9896.76192181818,1,0,0,0,0,0,0,0
"60",720,"Small",37,"None","4WD","3",1.2,73,5600,2875,"Yes",9.2,4,146,90,60,32,23.5,10,2045,"non-USA","Subaru Justy",8811.786644,9896.76192181818,1,0,0,0,0,0,0,0
"61",127,"Small",37,"None","4WD","3",1.2,73,5600,2875,"Yes",9.2,4,146,90,60,32,23.5,10,2045,"non-USA","Subaru Justy",8837.844956,9896.76192181818,1,0,0,0,0,0,0,0
"62",365,"Small",37,"None","4WD","3",1.2,73,5600,2875,"Yes",9.2,4,146,90,60,32,23.5,10,2045,"non-USA","Subaru Justy",8837.844956,9896.76192181818,1,0,0,0,0,0,0,0
"63",786,"Small",37,"None","4WD","3",1.2,73,5600,2875,"Yes",9.2,4,146,90,60,32,23.5,10,2045,"non-USA","Subaru Justy",9880.929546,9896.76192181818,1,0,0,0,0,0,0,0
"64",438,"Small",37,"None","4WD","3",1.2,73,5600,2875,"Yes",9.2,4,146,90,60,32,23.5,10,2045,"non-USA","Subaru Justy",10357.02684,9896.76192181818,1,0,0,0,0,0,0,0
"65",469,"Small",37,"None","4WD","3",1.2,73,5600,2875,"Yes",9.2,4,146,90,60,32,23.5,10,2045,"non-USA","Subaru Justy",10441.50432,9896.76192181818,1,0,0,0,0,0,0,0
"66",349,"Small",37,"None","4WD","3",1.2,73,5600,2875,"Yes",9.2,4,146,90,60,32,23.5,10,2045,"non-USA","Subaru Justy",10709.26307,9896.76192181818,1,0,0,0,0,0,0,0
"67",424,"Small",37,"None","4WD","3",1.2,73,5600,2875,"Yes",9.2,4,146,90,60,32,23.5,10,2045,"non-USA","Subaru Justy",12403.42718,9896.76192181818,1,0,0,0,0,0,0,0
"68",1410,"Small",37,"None","4WD","3",1.2,73,5600,2875,"Yes",9.2,4,146,90,60,32,23.5,10,2045,"non-USA","Subaru Justy",12403.42718,9896.76192181818,1,0,0,0,0,0,0,0
"69",1201,"Small",33,"None","Front","4",1.5,92,6000,3285,"Yes",13.2,5,174,98,66,32,26.5,11,2270,"USA","Dodge Colt",9345.797655,10057.7701694,1,0,0,0,0,0,0,0
"70",527,"Small",33,"None","Front","4",1.5,92,6000,3285,"Yes",13.2,5,174,98,66,32,26.5,11,2270,"USA","Dodge Colt",9782.491731,10057.7701694,1,0,0,0,0,0,0,0
"71",1007,"Small",33,"None","Front","4",1.5,92,6000,3285,"Yes",13.2,5,174,98,66,32,26.5,11,2270,"USA","Dodge Colt",9782.491731,10057.7701694,1,0,0,0,0,0,0,0
"72",1204,"Small",33,"None","Front","4",1.5,92,6000,3285,"Yes",13.2,5,174,98,66,32,26.5,11,2270,"USA","Dodge Colt",9791.572607,10057.7701694,1,0,0,0,0,0,0,0
"73",1203,"Small",33,"None","Front","4",1.5,92,6000,3285,"Yes",13.2,5,174,98,66,32,26.5,11,2270,"USA","Dodge Colt",10044.73381,10057.7701694,1,0,0,0,0,0,0,0
"74",468,"Small",33,"None","Front","4",1.5,92,6000,3285,"Yes",13.2,5,174,98,66,32,26.5,11,2270,"USA","Dodge Colt",10169.23683,10057.7701694,1,0,0,0,0,0,0,0
"75",607,"Small",33,"None","Front","4",1.5,92,6000,3285,"Yes",13.2,5,174,98,66,32,26.5,11,2270,"USA","Dodge Colt",10372.46914,10057.7701694,1,0,0,0,0,0,0,0
"76",907,"Small",33,"None","Front","4",1.5,92,6000,3285,"Yes",13.2,5,174,98,66,32,26.5,11,2270,"USA","Dodge Colt",10386.31403,10057.7701694,1,0,0,0,0,0,0,0
"77",1094,"Small",33,"None","Front","4",1.5,92,6000,3285,"Yes",13.2,5,174,98,66,32,26.5,11,2270,"USA","Dodge Colt",10386.31403,10057.7701694,1,0,0,0,0,0,0,0
"78",717,"Small",33,"None","Front","4",1.5,92,6000,3285,"Yes",13.2,5,174,98,66,32,26.5,11,2270,"USA","Dodge Colt",10516.28013,10057.7701694,1,0,0,0,0,0,0,0
"79",886,"Small",33,"None","Front","4",1.5,81,5500,2710,"Yes",11.9,5,168,94,63,35,26,11,2345,"non-USA","Hyundai Excel",8522.711012,10206.3029675556,1,0,0,0,0,0,0,0
"80",1424,"Small",33,"None","Front","4",1.5,81,5500,2710,"Yes",11.9,5,168,94,63,35,26,11,2345,"non-USA","Hyundai Excel",8769.416266,10206.3029675556,1,0,0,0,0,0,0,0
"81",1360,"Small",33,"None","Front","4",1.5,81,5500,2710,"Yes",11.9,5,168,94,63,35,26,11,2345,"non-USA","Hyundai Excel",10022.02022,10206.3029675556,1,0,0,0,0,0,0,0
"82",1452,"Small",33,"None","Front","4",1.5,81,5500,2710,"Yes",11.9,5,168,94,63,35,26,11,2345,"non-USA","Hyundai Excel",10054.77048,10206.3029675556,1,0,0,0,0,0,0,0
"83",665,"Small",33,"None","Front","4",1.5,81,5500,2710,"Yes",11.9,5,168,94,63,35,26,11,2345,"non-USA","Hyundai Excel",10092.63325,10206.3029675556,1,0,0,0,0,0,0,0
"84",178,"Small",33,"None","Front","4",1.5,81,5500,2710,"Yes",11.9,5,168,94,63,35,26,11,2345,"non-USA","Hyundai Excel",10558.52913,10206.3029675556,1,0,0,0,0,0,0,0
"85",1055,"Small",33,"None","Front","4",1.5,81,5500,2710,"Yes",11.9,5,168,94,63,35,26,11,2345,"non-USA","Hyundai Excel",10728.96099,10206.3029675556,1,0,0,0,0,0,0,0
"86",1049,"Small",33,"None","Front","4",1.5,81,5500,2710,"Yes",11.9,5,168,94,63,35,26,11,2345,"non-USA","Hyundai Excel",11553.84268,10206.3029675556,1,0,0,0,0,0,0,0
"87",1345,"Small",33,"None","Front","4",1.5,81,5500,2710,"Yes",11.9,5,168,94,63,35,26,11,2345,"non-USA","Hyundai Excel",11553.84268,10206.3029675556,1,0,0,0,0,0,0,0
"88",733,"Small",37,"Driver only","Front","4",1.5,82,5200,3505,"Yes",11.9,5,162,94,65,36,24,11,2055,"non-USA","Toyota Tercel",7987.686703,10436.6303007273,1,0,0,0,0,0,0,0
"89",1150,"Small",37,"Driver only","Front","4",1.5,82,5200,3505,"Yes",11.9,5,162,94,65,36,24,11,2055,"non-USA","Toyota Tercel",7987.686703,10436.6303007273,1,0,0,0,0,0,0,0
"90",1431,"Small",37,"Driver only","Front","4",1.5,82,5200,3505,"Yes",11.9,5,162,94,65,36,24,11,2055,"non-USA","Toyota Tercel",8350.146514,10436.6303007273,1,0,0,0,0,0,0,0
"91",1408,"Small",37,"Driver only","Front","4",1.5,82,5200,3505,"Yes",11.9,5,162,94,65,36,24,11,2055,"non-USA","Toyota Tercel",9570.55935,10436.6303007273,1,0,0,0,0,0,0,0
"92",1053,"Small",37,"Driver only","Front","4",1.5,82,5200,3505,"Yes",11.9,5,162,94,65,36,24,11,2055,"non-USA","Toyota Tercel",9706.526356,10436.6303007273,1,0,0,0,0,0,0,0
"93",1056,"Small",37,"Driver only","Front","4",1.5,82,5200,3505,"Yes",11.9,5,162,94,65,36,24,11,2055,"non-USA","Toyota Tercel",10161.81737,10436.6303007273,1,0,0,0,0,0,0,0
"94",761,"Small",37,"Driver only","Front","4",1.5,82,5200,3505,"Yes",11.9,5,162,94,65,36,24,11,2055,"non-USA","Toyota Tercel",10348.08659,10436.6303007273,1,0,0,0,0,0,0,0
"95",910,"Small",37,"Driver only","Front","4",1.5,82,5200,3505,"Yes",11.9,5,162,94,65,36,24,11,2055,"non-USA","Toyota Tercel",10348.08659,10436.6303007273,1,0,0,0,0,0,0,0
"96",1270,"Small",37,"Driver only","Front","4",1.5,82,5200,3505,"Yes",11.9,5,162,94,65,36,24,11,2055,"non-USA","Toyota Tercel",10348.08659,10436.6303007273,1,0,0,0,0,0,0,0
"97",1449,"Small",37,"Driver only","Front","4",1.5,82,5200,3505,"Yes",11.9,5,162,94,65,36,24,11,2055,"non-USA","Toyota Tercel",10506.04144,10436.6303007273,1,0,0,0,0,0,0,0
"98",1220,"Small",37,"Driver only","Front","4",1.5,82,5200,3505,"Yes",11.9,5,162,94,65,36,24,11,2055,"non-USA","Toyota Tercel",10570.80087,10436.6303007273,1,0,0,0,0,0,0,0
"99",386,"Small",37,"Driver only","Front","4",1.5,82,5200,3505,"Yes",11.9,5,162,94,65,36,24,11,2055,"non-USA","Toyota Tercel",10631.84349,10436.6303007273,1,0,0,0,0,0,0,0
"100",580,"Small",37,"Driver only","Front","4",1.5,82,5200,3505,"Yes",11.9,5,162,94,65,36,24,11,2055,"non-USA","Toyota Tercel",10656.61608,10436.6303007273,1,0,0,0,0,0,0,0
"101",1357,"Small",37,"Driver only","Front","4",1.5,82,5200,3505,"Yes",11.9,5,162,94,65,36,24,11,2055,"non-USA","Toyota Tercel",10656.61608,10436.6303007273,1,0,0,0,0,0,0,0
"102",516,"Small",37,"Driver only","Front","4",1.5,82,5200,3505,"Yes",11.9,5,162,94,65,36,24,11,2055,"non-USA","Toyota Tercel",10763.49433,10436.6303007273,1,0,0,0,0,0,0,0
"103",813,"Small",37,"Driver only","Front","4",1.5,82,5200,3505,"Yes",11.9,5,162,94,65,36,24,11,2055,"non-USA","Toyota Tercel",10793.15824,10436.6303007273,1,0,0,0,0,0,0,0
"104",455,"Small",37,"Driver only","Front","4",1.5,82,5200,3505,"Yes",11.9,5,162,94,65,36,24,11,2055,"non-USA","Toyota Tercel",10961.19092,10436.6303007273,1,0,0,0,0,0,0,0
"105",1272,"Small",37,"Driver only","Front","4",1.5,82,5200,3505,"Yes",11.9,5,162,94,65,36,24,11,2055,"non-USA","Toyota Tercel",11006.27872,10436.6303007273,1,0,0,0,0,0,0,0
"106",212,"Small",37,"Driver only","Front","4",1.5,82,5200,3505,"Yes",11.9,5,162,94,65,36,24,11,2055,"non-USA","Toyota Tercel",11859.6962,10436.6303007273,1,0,0,0,0,0,0,0
"107",1323,"Small",37,"Driver only","Front","4",1.5,82,5200,3505,"Yes",11.9,5,162,94,65,36,24,11,2055,"non-USA","Toyota Tercel",11859.6962,10436.6303007273,1,0,0,0,0,0,0,0
"108",153,"Small",37,"Driver only","Front","4",1.5,82,5200,3505,"Yes",11.9,5,162,94,65,36,24,11,2055,"non-USA","Toyota Tercel",12265.87564,10436.6303007273,1,0,0,0,0,0,0,0
"109",1016,"Small",37,"Driver only","Front","4",1.5,82,5200,3505,"Yes",11.9,5,162,94,65,36,24,11,2055,"non-USA","Toyota Tercel",12265.87564,10436.6303007273,1,0,0,0,0,0,0,0
"110",1014,"Small",50,"None","Front","3",1,55,5700,3755,"Yes",10.6,4,151,93,63,34,27.5,10,1695,"non-USA","Geo Metro",7480.981537,10672.1124248182,1,0,0,0,0,0,0,0
"111",395,"Small",50,"None","Front","3",1,55,5700,3755,"Yes",10.6,4,151,93,63,34,27.5,10,1695,"non-USA","Geo Metro",8914.527144,10672.1124248182,1,0,0,0,0,0,0,0
"112",1103,"Small",50,"None","Front","3",1,55,5700,3755,"Yes",10.6,4,151,93,63,34,27.5,10,1695,"non-USA","Geo Metro",9198.443696,10672.1124248182,1,0,0,0,0,0,0,0
"113",1489,"Small",50,"None","Front","3",1,55,5700,3755,"Yes",10.6,4,151,93,63,34,27.5,10,1695,"non-USA","Geo Metro",9198.443696,10672.1124248182,1,0,0,0,0,0,0,0
"114",412,"Small",50,"None","Front","3",1,55,5700,3755,"Yes",10.6,4,151,93,63,34,27.5,10,1695,"non-USA","Geo Metro",11346.59104,10672.1124248182,1,0,0,0,0,0,0,0
"115",248,"Small",50,"None","Front","3",1,55,5700,3755,"Yes",10.6,4,151,93,63,34,27.5,10,1695,"non-USA","Geo Metro",11491.94019,10672.1124248182,1,0,0,0,0,0,0,0
"116",974,"Small",50,"None","Front","3",1,55,5700,3755,"Yes",10.6,4,151,93,63,34,27.5,10,1695,"non-USA","Geo Metro",11491.94019,10672.1124248182,1,0,0,0,0,0,0,0
"117",696,"Small",50,"None","Front","3",1,55,5700,3755,"Yes",10.6,4,151,93,63,34,27.5,10,1695,"non-USA","Geo Metro",11701.53737,10672.1124248182,1,0,0,0,0,0,0,0
"118",1438,"Small",50,"None","Front","3",1,55,5700,3755,"Yes",10.6,4,151,93,63,34,27.5,10,1695,"non-USA","Geo Metro",11701.53737,10672.1124248182,1,0,0,0,0,0,0,0
"119",662,"Small",50,"None","Front","3",1,55,5700,3755,"Yes",10.6,4,151,93,63,34,27.5,10,1695,"non-USA","Geo Metro",12433.64722,10672.1124248182,1,0,0,0,0,0,0,0
"120",1114,"Small",50,"None","Front","3",1,55,5700,3755,"Yes",10.6,4,151,93,63,34,27.5,10,1695,"non-USA","Geo Metro",12433.64722,10672.1124248182,1,0,0,0,0,0,0,0
"121",103,"Small",41,"None","Front","4",1.6,74,5600,3130,"Yes",13.2,4,177,99,66,35,25.5,17,2350,"USA","Pontiac LeMans",9482.804845,11002.623643,1,0,0,0,0,0,0,0
"122",926,"Small",41,"None","Front","4",1.6,74,5600,3130,"Yes",13.2,4,177,99,66,35,25.5,17,2350,"USA","Pontiac LeMans",9482.804845,11002.623643,1,0,0,0,0,0,0,0
"123",327,"Small",41,"None","Front","4",1.6,74,5600,3130,"Yes",13.2,4,177,99,66,35,25.5,17,2350,"USA","Pontiac LeMans",10283.19154,11002.623643,1,0,0,0,0,0,0,0
"124",344,"Small",41,"None","Front","4",1.6,74,5600,3130,"Yes",13.2,4,177,99,66,35,25.5,17,2350,"USA","Pontiac LeMans",10283.19154,11002.623643,1,0,0,0,0,0,0,0
"125",1212,"Small",41,"None","Front","4",1.6,74,5600,3130,"Yes",13.2,4,177,99,66,35,25.5,17,2350,"USA","Pontiac LeMans",10426.09914,11002.623643,1,0,0,0,0,0,0,0
"126",1198,"Small",41,"None","Front","4",1.6,74,5600,3130,"Yes",13.2,4,177,99,66,35,25.5,17,2350,"USA","Pontiac LeMans",10466.85128,11002.623643,1,0,0,0,0,0,0,0
"127",1235,"Small",41,"None","Front","4",1.6,74,5600,3130,"Yes",13.2,4,177,99,66,35,25.5,17,2350,"USA","Pontiac LeMans",10644.58198,11002.623643,1,0,0,0,0,0,0,0
"128",501,"Small",41,"None","Front","4",1.6,74,5600,3130,"Yes",13.2,4,177,99,66,35,25.5,17,2350,"USA","Pontiac LeMans",10759.46667,11002.623643,1,0,0,0,0,0,0,0
"129",1019,"Small",41,"None","Front","4",1.6,74,5600,3130,"Yes",13.2,4,177,99,66,35,25.5,17,2350,"USA","Pontiac LeMans",10759.46667,11002.623643,1,0,0,0,0,0,0,0
"130",158,"Small",41,"None","Front","4",1.6,74,5600,3130,"Yes",13.2,4,177,99,66,35,25.5,17,2350,"USA","Pontiac LeMans",11065.06314,11002.623643,1,0,0,0,0,0,0,0
"131",434,"Small",41,"None","Front","4",1.6,74,5600,3130,"Yes",13.2,4,177,99,66,35,25.5,17,2350,"USA","Pontiac LeMans",11086.44152,11002.623643,1,0,0,0,0,0,0,0
"132",500,"Small",41,"None","Front","4",1.6,74,5600,3130,"Yes",13.2,4,177,99,66,35,25.5,17,2350,"USA","Pontiac LeMans",11086.44152,11002.623643,1,0,0,0,0,0,0,0
"133",1351,"Small",41,"None","Front","4",1.6,74,5600,3130,"Yes",13.2,4,177,99,66,35,25.5,17,2350,"USA","Pontiac LeMans",11217.13837,11002.623643,1,0,0,0,0,0,0,0
"134",1284,"Small",41,"None","Front","4",1.6,74,5600,3130,"Yes",13.2,4,177,99,66,35,25.5,17,2350,"USA","Pontiac LeMans",11719.07771,11002.623643,1,0,0,0,0,0,0,0
